x,y
-11.3849,0.72794
-11.3848,0.815202
-11.4112,1.44737
-11.3688,1.35573
-11.4352,1.48339
-11.3781,3.15929
-11.4097,4.17929
-11.3888,5.49416
-11.4201,5.60813
-11.3757,5.926
-11.3632,6.28718
-11.436,6.59338
-11.4031,6.60919
-11.4339,7.16568
-11.3471,-7.14705
-11.3335,-5.88082
-11.2614,-5.84995
-11.2602,-5.81135
-11.3344,-5.52826
-11.3371,-5.02399
-11.3356,-4.88269
-11.2946,-4.67358
-11.3436,-4.55766
-11.3356,-4.51006
-11.2528,-4.31889
-11.2619,-4.07663
-11.3213,-4.12133
-11.2668,-3.7475
-11.33,-2.78304
-11.3427,-2.57784
-11.2968,-2.48952
-11.2625,-2.53226
-11.3416,-2.37943
-11.2897,-1.67286
-11.2865,-1.51501
-11.3189,-1.52908
-11.312,-1.28247
-11.2715,-1.19281
-11.331,-1.19498
-11.2518,-1.0624
-11.3098,-0.36511
-11.2715,-0.145564
-11.3491,0.605755
-11.2915,0.914099
-11.3097,0.980828
-11.301,1.14532
-11.2595,1.22055
-11.306,1.22502
-11.339,1.27902
-11.2628,1.54988
-11.3117,1.71869
-11.2824,1.67583
-11.3026,1.88103
-11.269,1.85629
-11.257,1.95031
-11.3498,2.47327
-11.3297,2.4803
-11.3144,2.71397
-11.324,3.00114
-11.341,3.06378
-11.2918,3.37824
-11.3435,3.42208
-11.2975,3.44455
-11.3014,3.50524
-11.3031,4.02116
-11.3234,4.72254
-11.3321,5.82914
-11.3197,6.71737
-11.3009,7.76763
-11.2094,-7.61048
-11.1783,-7.2321
-11.1938,-6.24713
-11.2198,-6.05699
-11.1829,-6.12013
-11.1538,-5.83725
-11.161,-5.53892
-11.2391,-5.5213
-11.2337,-5.54117
-11.2387,-5.39214
-11.1623,-5.28119
-11.2338,-5.30869
-11.2206,-4.88736
-11.2109,-4.73205
-11.1747,-4.55754
-11.1778,-4.11315
-11.2295,-3.96382
-11.2374,-3.69904
-11.2158,-3.38891
-11.1694,-3.40487
-11.178,-2.81716
-11.1553,-2.45214
-11.1582,-2.1104
-11.1786,-2.1404
-11.2108,-2.04884
-11.247,-1.88458
-11.2437,-1.69251
-11.2247,-1.51237
-11.2272,-1.3568
-11.1598,-1.33723
-11.1972,-1.30919
-11.19,-1.17383
-11.2329,-1.22227
-11.1699,-1.12124
-11.2355,0.837495
-11.2202,1.25573
-11.2499,1.38059
-11.2394,2.02983
-11.2241,1.98961
-11.2481,2.20902
-11.1665,2.23356
-11.2468,2.4162
-11.1965,2.64057
-11.1639,2.90311
-11.1601,2.93488
-11.2303,2.95563
-11.2049,3.04229
-11.1998,3.10869
-11.1746,3.46233
-11.2277,3.74142
-11.2249,3.81236
-11.2235,4.29201
-11.2112,4.37238
-11.1633,4.51047
-11.1872,4.4953
-11.1925,4.95949
-11.2267,5.25801
-11.2398,5.53254
-11.224,6.37875
-11.198,9.34247
-11.1101,-7.48282
-11.1001,-7.0456
-11.1497,-6.8268
-11.1209,-6.48502
-11.1036,-5.3645
-11.0903,-5.05734
-11.0836,-4.91241
-11.081,-4.84428
-11.1494,-4.53366
-11.1046,-4.19106
-11.1396,-4.1579
-11.0864,-3.65518
-11.0538,-3.74362
-11.0598,-3.50496
-11.0674,-3.42762
-11.0603,-3.3583
-11.0654,-3.43497
-11.0563,-3.37055
-11.1123,-3.18623
-11.1398,-2.87389
-11.1155,-2.68431
-11.1478,-2.44783
-11.1466,-1.96286
-11.0529,-1.86338
-11.0504,-1.9276
-11.1487,-1.61512
-11.0597,-1.57811
-11.0905,-1.63705
-11.0594,-1.4476
-11.1177,-1.42898
-11.0562,-1.30504
-11.135,-1.23663
-11.0995,-0.82708
-11.0661,-0.753356
-11.0582,-0.778859
-11.067,-0.831639
-11.096,-0.241129
-11.1242,0.259228
-11.0642,0.355999
-11.1475,0.912377
-11.0763,1.22654
-11.098,1.28851
-11.0639,1.74892
-11.1327,1.79916
-11.0942,1.8543
-11.1356,2.15367
-11.1394,2.29112
-11.0926,2.35107
-11.1043,2.53202
-11.1405,2.61878
-11.0787,2.7299
-11.0969,2.82253
-11.0846,2.88468
-11.1091,3.02248
-11.1336,3.14776
-11.1288,3.35064
-11.1202,4.09743
-11.0899,4.14093
-11.0937,4.34449
-11.1056,5.11171
-11.0792,5.23621
-11.0583,5.63562
-11.0777,7.81858
-11.0729,8.11757
-11.0247,-8.13454
-10.9997,-6.9689
-11.0215,-6.47114
-10.9624,-6.09234
-11.0426,-5.64261
-11.0409,-5.51895
-10.9902,-4.61127
-10.9971,-4.39646
-11.048,-3.94849
-11.0193,-3.83936
-11.0418,-3.70366
-11.0003,-3.36797
-10.9861,-3.36446
-11.0408,-3.2762
-10.9575,-3.29357
-11.0495,-3.34642
-10.9938,-3.09671
-11.0199,-3.09093
-10.9608,-2.9193
-10.967,-2.46697
-10.9988,-2.48052
-10.9672,-2.47389
-10.9585,-2.36987
-10.9931,-2.23633
-10.9997,-2.09632
-10.9653,-2.09018
-10.9503,-1.95031
-11.0005,-1.71801
-10.9619,-1.35632
-11.0414,-0.756317
-10.9669,-0.570153
-10.953,-0.549892
-10.9735,0.150379
-10.9909,0.628106
-11.0053,0.716381
-10.9792,0.833286
-10.9878,0.896925
-10.9958,1.00425
-10.9541,1.24242
-11.0277,1.81372
-10.9526,1.98378
-11.0265,2.11239
-11.0097,2.3903
-10.9979,2.4898
-11.0072,2.56894
-10.9957,2.55008
-10.9836,2.77156
-10.9715,3.00995
-11.0132,4.26878
-10.9727,4.3499
-11.0303,4.54076
-11.002,4.45084
-10.9892,4.77539
-11.0072,5.24047
-11.0339,5.91708
-10.9614,6.08545
-11.0354,6.33411
-11.0452,6.62289
-11.0435,6.67385
-11.0121,7.0874
-10.9639,7.31341
-10.8591,-8.10378
-10.9358,-7.70776
-10.9147,-7.59094
-10.9293,-7.00423
-10.8524,-6.38857
-10.8693,-6.26928
-10.9064,-5.52867
-10.891,-5.35936
-10.8608,-5.39056
-10.8859,-4.46861
-10.9087,-4.35219
-10.9491,-4.39373
-10.9325,-4.25258
-10.9454,-3.76262
-10.8562,-3.53012
-10.9205,-3.48513
-10.9434,-3.26387
-10.8901,-3.24773
-10.9102,-3.22339
-10.931,-3.02623
-10.9216,-2.92601
-10.8708,-2.50366
-10.9009,-2.0995
-10.9138,-1.89689
-10.9303,-1.94178
-10.8888,-1.87234
-10.8848,-0.833249
-10.9011,-0.694192
-10.864,-0.682589
-10.8554,-0.515902
-10.889,-0.517786
-10.8844,-0.104233
-10.8776,1.08277
-10.8679,1.12994
-10.9314,1.17944
-10.925,1.30508
-10.85,1.54451
-10.8501,1.82525
-10.9248,1.98509
-10.8616,2.61366
-10.9354,2.74797
-10.9447,2.99257
-10.8778,3.25028
-10.8762,3.65726
-10.9433,3.73526
-10.937,3.82386
-10.8765,3.81022
-10.8917,4.04053
-10.8837,4.27524
-10.9028,4.27011
-10.9013,4.52775
-10.8613,4.46793
-10.9265,5.02667
-10.9337,6.3263
-10.8617,6.98808
-10.7775,-8.12819
-10.7755,-7.05813
-10.847,-6.65372
-10.8243,-6.6306
-10.7569,-6.23654
-10.8258,-6.0061
-10.8131,-5.8655
-10.7519,-5.79848
-10.8356,-5.82905
-10.8464,-5.27012
-10.831,-5.20502
-10.8462,-4.6696
-10.8498,-4.15645
-10.8232,-4.20756
-10.849,-4.20207
-10.7899,-4.06131
-10.7525,-3.76258
-10.7601,-3.70448
-10.755,-3.55607
-10.7831,-3.56958
-10.8323,-2.86969
-10.7882,-2.71315
-10.7868,-2.62699
-10.781,-2.56396
-10.8496,-2.57386
-10.817,-2.43151
-10.8031,-2.2305
-10.8086,-2.19901
-10.7909,-2.08879
-10.8017,-1.95537
-10.8386,-1.81867
-10.7774,-1.56751
-10.8363,-1.53157
-10.8405,-1.35595
-10.7963,-1.39769
-10.7642,-1.11079
-10.7947,-0.553187
-10.8028,-0.602678
-10.815,-0.537215
-10.7532,0.750146
-10.8316,1.04228
-10.7649,1.24707
-10.8072,1.46536
-10.7902,1.60979
-10.7884,1.83424
-10.7608,2.21556
-10.8041,2.16645
-10.8048,2.44263
-10.7538,2.35954
-10.8067,2.42591
-10.7781,2.48448
-10.755,2.48214
-10.8001,2.73694
-10.8408,3.10533
-10.8116,3.17341
-10.8498,3.55814
-10.8064,3.6936
-10.8482,3.77228
-10.8413,3.9451
-10.8427,4.03173
-10.8393,3.96866
-10.7843,4.06871
-10.8106,4.09824
-10.8418,4.15815
-10.825,4.34442
-10.7714,4.27608
-10.8019,4.46025
-10.8142,4.66515
-10.8349,5.42763
-10.7691,5.7139
-10.7743,5.92265
-10.7986,6.90145
-10.6976,-8.7125
-10.7079,-6.24217
-10.7479,-5.86679
-10.6562,-5.90771
-10.7479,-5.7091
-10.695,-5.45053
-10.7256,-5.18733
-10.6643,-5.12236
-10.7308,-5.08374
-10.7478,-4.56341
-10.6715,-4.56977
-10.656,-3.96785
-10.7117,-3.95023
-10.6777,-3.79029
-10.6735,-3.74705
-10.7398,-3.72474
-10.6988,-3.55454
-10.6556,-3.36022
-10.715,-3.36102
-10.74,-3.25684
-10.7394,-3.16574
-10.7482,-2.94819
-10.7205,-2.87813
-10.7298,-2.90373
-10.6945,-2.31317
-10.653,-2.27838
-10.6742,-2.02201
-10.673,-1.65261
-10.692,-1.55657
-10.6567,-1.4643
-10.7171,-1.51596
-10.7356,-1.4231
-10.7231,-1.42313
-10.688,-1.16661
-10.6662,-1.00297
-10.7324,-0.976774
-10.7324,-0.87184
-10.7205,-0.689624
-10.7372,-0.287929
-10.7172,1.20204
-10.7405,1.63059
-10.6998,1.70888
-10.6871,1.95851
-10.738,2.24536
-10.6901,2.20436
-10.6913,2.18006
-10.662,2.64987
-10.6903,2.59949
-10.6703,2.58065
-10.7174,2.81498
-10.7167,2.90971
-10.7061,2.92188
-10.6941,3.01687
-10.705,3.29029
-10.7494,3.36644
-10.7273,3.54042
-10.7288,3.56769
-10.7153,3.96232
-10.7074,4.12191
-10.6992,4.31561
-10.6545,4.46833
-10.6752,5.02909
-10.6754,5.17506
-10.7495,5.48353
-10.665,5.5574
-10.6865,5.73384
-10.7094,5.78622
-10.7022,5.92283
-10.7105,6.1499
-10.6743,6.52031
-10.6171,-5.94521
-10.6482,-4.91969
-10.5872,-4.59441
-10.619,-4.45151
-10.6258,-4.42719
-10.5514,-4.27911
-10.6478,-4.14658
-10.5743,-4.0725
-10.6312,-4.14346
-10.6201,-3.43568
-10.6202,-3.44959
-10.6341,-3.2955
-10.5545,-3.25852
-10.6182,-3.12201
-10.6087,-3.07782
-10.6401,-2.98213
-10.6137,-2.65985
-10.6095,-2.59006
-10.5626,-2.61635
-10.5966,-2.57704
-10.5888,-2.57748
-10.5625,-2.54862
-10.6359,-2.32165
-10.6205,-2.22049
-10.5545,-1.99319
-10.6034,-1.7984
-10.5755,-1.77551
-10.6269,-1.67427
-10.5806,-1.65056
-10.6421,-1.68763
-10.632,-1.46932
-10.6498,-1.50691
-10.6059,-1.01229
-10.5551,-0.979342
-10.6405,-1.00664
-10.6342,-1.00543
-10.5859,-0.857334
-10.5704,-0.886183
-10.6262,-0.919618
-10.6351,-0.938535
-10.632,-0.757844
-10.5687,-0.80948
-10.5533,-0.661009
-10.6188,0.813112
-10.5511,0.987766
-10.5711,1.37148
-10.5913,1.41491
-10.6274,1.51108
-10.6093,1.59069
-10.5943,1.71328
-10.6169,1.77862
-10.6448,2.33515
-10.5936,2.39831
-10.6427,3.15019
-10.5976,3.35002
-10.6036,3.7816
-10.6496,4.06454
-10.6279,4.22355
-10.5689,4.30662
-10.5703,4.42249
-10.6028,5.42089
-10.6314,5.52178
-10.6203,6.13888
-10.5633,6.25219
-10.5693,7.53923
-10.6492,7.59729
-10.493,-9.393
-10.4873,-8.16573
-10.5112,-7.95248
-10.4933,-7.54011
-10.4673,-6.01931
-10.5378,-5.2658
-10.5069,-4.67436
-10.5075,-4.47191
-10.5436,-4.52101
-10.4501,-4.39031
-10.5267,-4.23797
-10.4917,-4.11511
-10.5367,-3.68676
-10.5104,-3.49493
-10.4662,-3.44276
-10.5317,-3.32499
-10.4712,-3.15544
-10.5075,-3.14217
-10.4854,-3.08263
-10.5329,-3.00185
-10.4924,-2.52612
-10.462,-2.16145
-10.4614,-2.11866
-10.5261,-2.09891
-10.4528,-2.0608
-10.5231,-2.00338
-10.5141,-1.60254
-10.5286,-1.5368
-10.5401,-1.45451
-10.4835,-1.43921
-10.5055,-0.972885
-10.4659,-0.932611
-10.492,-0.897174
-10.4624,-0.519936
-10.5295,-0.347164
-10.4998,0.9249
-10.4797,1.01528
-10.4712,1.40948
-10.5255,1.36232
-10.5343,1.55559
-10.5055,1.70477
-10.4666,1.91895
-10.4661,1.88547
-10.4817,1.98858
-10.5397,2.19262
-10.4664,2.39482
-10.5355,2.49461
-10.4618,2.54789
-10.4973,2.50267
-10.5497,2.55803
-10.5331,2.66048
-10.4697,2.73029
-10.4856,2.74093
-10.5147,2.74585
-10.4628,2.75413
-10.5008,2.89308
-10.477,3.19014
-10.4694,3.1922
-10.5187,3.2988
-10.4943,3.57318
-10.4819,3.61813
-10.5414,3.7157
-10.5429,4.59112
-10.4802,4.62927
-10.4579,4.76079
-10.508,4.87598
-10.4705,4.88508
-10.5483,5.06259
-10.4965,5.36967
-10.5214,5.80914
-10.5263,6.47786
-10.5174,6.6415
-10.4554,6.65229
-10.484,7.53147
-10.5285,8.01521
-10.5253,9.27174
-10.3959,-9.81893
-10.4348,-9.19743
-10.4082,-8.46796
-10.3985,-7.16487
-10.4359,-6.45606
-10.4327,-6.38029
-10.3512,-6.15576
-10.4223,-6.11884
-10.3996,-6.06423
-10.4312,-5.86456
-10.4371,-5.61547
-10.3586,-5.09909
-10.3549,-4.96703
-10.3609,-4.42414
-10.3575,-4.4373
-10.4318,-4.25764
-10.3957,-3.65436
-10.4358,-3.51155
-10.417,-3.48455
-10.4192,-3.07637
-10.3643,-3.06605
-10.4019,-2.75055
-10.4309,-2.29338
-10.4224,-2.12989
-10.4143,-2.11032
-10.3762,-1.53316
-10.4336,-0.71544
-10.3602,-0.48163
-10.3906,-0.135989
-10.3742,0.891473
-10.4492,0.916822
-10.3608,1.03961
-10.3791,1.39003
-10.3545,1.50645
-10.3515,1.78263
-10.4435,1.92625
-10.4389,1.9801
-10.4332,2.06802
-10.4238,2.49405
-10.4094,2.48413
-10.3855,2.76177
-10.3641,3.01618
